taxon,ol,ed,pd
Acanthurus_bahianus,6.583333333,6.914566667,2.695216667
Acanthurus_coeruleus,7.75,7.935,2.8566
Apogon_maculatus,7.175,7.7763,3.8088
Apogon_melas,7.75,8.5698,3.9675
Bothus_ocellatus,6.4,6.348,1.1109
Caesio_teres,11.05,11.109,5.0784
Cephalopholis_miniata,6.65,6.8241,3.174
Cephalopholis_polleni,8.4,8.5698,3.3327
Cephalopholis_urodeta,8.45,7.935,3.41205
Cheilinus_chlorourus,7.9,7.7763,2.3805
Cheilinus_fasciatus,7.85,7.935,2.8566
Cirrhitichthys_oxycephalus,4.916666667,5.125166667,2.227166667
Clepticus_parrae,3.95,4.293333333,1.918583333
Cromileptes_altivelis,7.4,7.7763,3.57075
Cryptocentrus_sp.,4.25,5.5545,2.5392
Cyprinocirrhites_polyactis,6.075,6.31925,2.737
Diplectrum_formosum,11.15,10.7916,4.1262
Epibulus_insidiator,6.1,6.1893,2.2218
Epinephelus_fulvus,6.625,6.9828,3.09465
Epinephelus_guttatus,8.9,9.6807,4.2849
Epinephelus_ongus,7.05,7.5647,3.51785
Gramma_loreto,3.533333333,3.971333333,1.6905
Halichoeres_pictus,5.04,5.313,2.0447
Hemigymnus_melapterus,6.15,5.5545,2.8566
Hypoplectrus_chlorurus,9.1,9.2046,3.9675
Hypoplectrus_puella,7.5875,7.69695,3.3327
Hypoplectrus_unicolor,8.3375,8.96655,3.88815
Inermia_vittata,11,11.109,4.6023
Labrisomus_nuchipinnis,5.77,5.96804,2.72872
Liopropoma_carmabi,3.3,3.542,1.40875
Liopropoma_eukrines,4.1,4.025,1.6905
Liopropoma_mowbrayi,3.3,3.6225,1.5295
Liopropoma_rubre,3.416666667,3.7835,1.6905
Luzonichthys_waitei,3.65,3.864,1.61
Neoniphon_sammara,11.1,12.696,3.22
Novaculichthys_taeniourus,6.3,6.1893,2.6979
Odontanthias_borbonius,9,9.6807,4.4436
Opistognathus_aurifrons,8.9,8.8872,3.8088
Oxycirrhites_typus,3.975,4.669,2.1735
Paracirrhites_arcatus,3.9,4.347,1.932
Paranthias_furcifer,7.72,7.96674,3.6501
Parapercis_millepunctata,4.5,4.4275,1.3685
Pempheris_schomburgki,14.58333333,14.7,7.233333333
Pomacanthus_paru,7.775,7.85565,3.3327
Prionurus_microlepidotus,8.75,8.7285,4.4436
Pseudanthias_bartlettorum,4.075,4.568375,1.871625
Pseudanthias_evansi,3.75,4.508,1.871625
Pseudanthias_fasciatus,7.5,7.7763,3.4914
Pseudanthias_hutchii,5.15,5.313,2.415
Pseudanthias_pleurotaenia,5.825,6.42735,2.896275
Pseudanthias_squamipinnis,5.55,6.409525,2.683525
Pseudocheilinus_evadinus,3.7625,3.98475,1.549625
Pseudogramma_gregoryi,3.2,2.6565,1.288
Rypticus_maculatus,5.275,5.6327,2.8566
Sargocentron_coruscum,11.65,12.696,5.8719
Sargocentron_diadema,10.55,11.34705,4.84035
Sargocentron_vexillarium,10,10.3155,4.6023
Scarus_iseri,5.9,6.252166667,2.307666667
Serranocirrhites_latus,4.425,4.87025,2.0125
Serranus_annularis,3.725,4.2665,1.771
Serranus_baldwini,4.2,4.299466667,1.878333333
Serranus_chionaraia,4.083333333,4.776333333,2.039333333
Serranus_phoebe,5.5,5.8627,2.4725
Serranus_tabacarius,5.716666667,6.2951,2.645
Serranus_tigrinus,5.633333333,5.7661,2.3276
Serranus_tortugarum,4.775,4.932925,2.24595
Siganus_magnificus,9.025,9.2046,4.4436
Siganus_puellus,9.95,10.4742,5.2371
Siganus_tetrazonus,8.2,8.8872,4.2849
Siganus_unimaculatus,8.9,8.8872,4.4436
Sparisoma_aurofrenatum,6.35,6.7413,2.4725
Sparisoma_chrysopterum,5.775,6.30775,1.9964
Sparisoma_viride,6.35,6.6815,2.37475
Stegastes_fuscus,7.383333333,7.3531,3.174
Stegastes_leucostictus,6.85,6.8241,3.0153
Stegastes_partitus,5.183333333,5.447166667,2.3345
Stegastes_variabilis,4.25,4.6023,2.0631
Variola_louti,5.3,5.8719,2.5392
Zoramia_leptacantha,4.55,4.991,2.61625
